SITE ID II,SITEID,SITENAME,LONG,LAT,AREA,Sales Area,PRB 1,PRB 2,PRB 3,MAX PRB,EUT 1,EUT 2,EUT 3,MIN EUT
14WNO006MACRO,14WNO006,SAPURAN_TB,109.978996,-7.45677,CENTRAL JAVA,MAGELANG,  87.43 ,  68.84 ,  85.02 ,  87.43 ,  3.74 ,  13.83 ,  7.17 ,  3.74 
14BAG108MACRO,14BAG108,SARIGLAGAH_BAG_MT,109.716873,-6.95718,CENTRAL JAVA,PEKALONGAN,  84.57 ,  83.45 ,  74.97 ,  84.57 ,  6.19 ,  8.19 ,  7.00 ,  6.19 
14DMK101MACRO,14DMK101,SARIREJO_DMK_CM,110.588371,-6.99853,CENTRAL JAVA,KUDUS,  83.57 ,  86.42 ,  96.32 ,  96.32 ,  2.52 ,  1.24 ,  0.92 ,  0.92 
14CLP088MACRO,14CLP088,SARWADD_TB,108.924004,-7.54371,CENTRAL JAVA,PURWOKERTO,  98.56 ,  43.27 ,  98.79 ,  98.79 ,  2.78 ,  22.07 ,  2.50 ,  2.50 
14DMK071MACRO,14DMK071,SATRIA_DMK_MT,110.512001,-7.03564,CENTRAL JAVA,KUDUS,  85.33 ,  83.31 ,  84.36 ,  85.33 ,  3.84 ,  0.92 ,  2.78 ,  0.92 
14SMG118MACRO,14SMG118,SAWAHBESAR_PL,110.445999,-6.967528,CENTRAL JAVA,SEMARANG INNER,  82.02 ,  63.37 ,  56.52 ,  82.02 ,  5.80 ,  11.23 ,  11.07 ,  5.80 
14KAJ052MACRO,14KAJ052,SAWANGANDORO,109.657997,-7.025083,CENTRAL JAVA,PEKALONGAN,  92.55 ,  98.66 ,  98.53 ,  98.66 ,  2.15 ,  1.91 ,  1.56 ,  1.56 
14BYL014MACRO,14BYL014,SAWIT,110.676003,-7.569667,CENTRAL JAVA,SOLO INNER,  99.22 ,  98.14 ,  41.88 ,  99.22 ,  1.36 ,  1.90 ,  26.45 ,  1.36 
14BYL058MACRO,14BYL058,SAWITBRT_TB,110.651001,-7.570778,CENTRAL JAVA,SOLO INNER,  99.37 ,  90.58 ,  42.05 ,  99.37 ,  1.40 ,  1.92 ,  15.44 ,  1.40 
15YOG064MACRO,15YOG064,SAWITSARISTP,110.389,-7.759139,CENTRAL JAVA,YOGYAKARTA 2,  51.50 ,  73.68 ,  64.43 ,  73.68 ,  13.56 ,  8.26 ,  5.41 ,  5.41 
14BRS115MACRO,14BRS115,SAWOJAJAR_BRS_MT,108.965591,-6.87226,CENTRAL JAVA,TEGAL,  92.45 ,  77.33 ,  63.48 ,  92.45 ,  4.18 ,  7.89 ,  16.39 ,  4.18 
14BRS044MACRO,14BRS044,SAWOJAJAR_TB,109.017998,-6.83422,CENTRAL JAVA,TEGAL,  92.35 ,  53.20 ,  58.67 ,  92.35 ,  6.63 ,  20.43 ,  18.41 ,  6.63 
14DMK008MACRO,14DMK008,SAYUNG,110.504997,-6.94238,CENTRAL JAVA,KUDUS,  93.54 ,  91.38 ,  94.90 ,  94.90 ,  1.00 ,  1.37 ,  1.33 ,  1.00 
14DMK044MACRO,14DMK044,SAYUNGSELATAN_TBG,110.505997,-6.96214,CENTRAL JAVA,KUDUS,  68.88 ,  86.81 ,  89.62 ,  89.62 ,  1.31 ,  2.02 ,  3.33 ,  1.31 
14KDS119MACRO,14KDS119,SD_KALIWUNGU_KDS,110.790649,-6.78084,CENTRAL JAVA,KUDUS,  79.15 ,  49.41 ,  85.06 ,  85.06 ,  10.23 ,  24.14 ,  5.92 ,  5.92 
14SMG259MACRO,14SMG259,SDGGUWO_IB,110.458,-7.012934,CENTRAL JAVA,SEMARANG INNER,  15.18 ,  44.86 ,  28.40 ,  44.86 ,  33.06 ,  16.30 ,  25.87 ,  16.30 
14DMK049MACRO,14DMK049,SDGMULYO_MT,110.464996,-7.02851,CENTRAL JAVA,SEMARANG INNER,  32.23 ,  35.88 ,  83.73 ,  83.73 ,  23.14 ,  18.27 ,  5.27 ,  5.27 
14SMG370MACRO,14SMG370,SDN_TEMBALANG_SMG_CM,110.434883,-7.05959,CENTRAL JAVA,SEMARANG INNER,  46.84 ,  22.79 ,  17.80 ,  46.84 ,  17.13 ,  22.46 ,  34.00 ,  17.13 
14GRO039MACRO,14GRO039,SEDADI_TB,110.842003,-7.1458,CENTRAL JAVA,PATI,  92.83 ,  92.31 ,  98.35 ,  98.35 ,  3.65 ,  5.59 ,  2.37 ,  2.37 
14DMK110MACRO,14DMK110,SEDRAN_RAYA_DMK_PL,110.536079,-6.97431,CENTRAL JAVA,KUDUS,  54.14 ,  66.32 ,  92.32 ,  92.32 ,  10.90 ,  6.51 ,  1.63 ,  1.63 
14CLP118MACRO,14CLP118,SEGARALANGU_CLP_PL,108.778397,-7.42671,CENTRAL JAVA,PURWOKERTO,  39.35 ,  96.11 ,  69.46 ,  96.11 ,  13.52 ,  1.58 ,  5.36 ,  1.58 
14KLT152MACRO,14KLT152,SEGARAN2_KLT_CM,110.686203,-7.6099,CENTRAL JAVA,SOLO INNER,  87.33 ,  90.74 ,  92.01 ,  92.01 ,  2.43 ,  1.01 ,  2.25 ,  1.01 
14SMG145MACRO,14SMG145,SEKARAN,110.393097,-7.05092,CENTRAL JAVA,SEMARANG INNER,  48.61 ,  38.35 ,  20.76 ,  48.61 ,  15.27 ,  18.48 ,  26.84 ,  15.27 
14KLT113MACRO,14KLT113,SEKARSULI_KLT_TV,110.597992,-7.6967,CENTRAL JAVA,SOLO INNER,  55.13 ,  64.30 ,  72.62 ,  72.62 ,  10.10 ,  8.19 ,  9.76 ,  8.19 
14PBG061MACRO,14PBG061,SELABAYA_PBG_PL,109.345284,-7.40369,CENTRAL JAVA,BANJARNEGARA,  93.63 ,  72.77 ,  67.51 ,  93.63 ,  2.31 ,  6.50 ,  11.89 ,  2.31 
14SKH097MACRO,14SKH097,SELARAS_GATAK_SKH_TV,110.755386,-7.60426,CENTRAL JAVA,SOLO INNER,  55.38 ,  80.91 ,  96.42 ,  96.42 ,  14.61 ,  6.60 ,  2.47 ,  2.47 
14PKL076MACRO,14PKL076,SELAT_SELAYAR_PKL_BL,109.683594,-6.867534,CENTRAL JAVA,PEKALONGAN,  64.29 ,  23.78 ,  34.70 ,  64.29 ,  8.29 ,  46.48 ,  35.47 ,  8.29 
14BYL012MACRO,14BYL012,SELO,110.456001,-7.504806,CENTRAL JAVA,SOLO INNER,  89.17 ,  75.58 ,  98.03 ,  98.03 ,  4.58 ,  8.50 ,  1.55 ,  1.55 
