site_id,site_name,longitude,latitude,kecamatan,MICRO_CLUSTER,CLUSTER,SALES_AREA,AREA,Population Covered,Revenue,Sec 1 Azimuth,Sec 2 Azimuth,Sec 3 Azimuth
14PAT0061,SIDOKERTO_PL,111.03700,-6.73957,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  6,320,434 ",NULL,NULL,NULL
14PAT0062,DUKUHSETI1_ST,111.03719,-6.47472,DUKUHSETI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0063,TAYU_KULON2_IB,111.03760,-6.53377,TAYU,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0064,SUGIHREJO_GABUS_TB,111.03771,-6.82921,GABUS,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  2,180,690 ",NULL,NULL,NULL
14PAT0065,PANJUNANPATI_MT,111.03810,-6.77848,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0066,KABORONGAN_IB,111.03900,-6.74303,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0068,PATI_LOR_PL,111.03955,-6.74997,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  3,066,811 ",NULL,NULL,NULL
14PAT0069,KEDUNGSARI_PL,111.04000,-6.57686,TAYU,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT007,PATIKOTA,111.04353,-6.75493,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  7,194 ","  72,559,960 ",30,160,300
14PAT0070,DUKUHSETI_EP,111.04000,-6.48873,DUKUHSETI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0071,DADIREJO_PAT_MT,111.04000,-6.76480,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  8,492,947 ",NULL,NULL,NULL
14PAT0072,PATIUTARA_MT,111.04300,-6.73705,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0073,PARENGGAN_PAT2_PL,111.04325,-6.74072,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  373,845 ",NULL,NULL,NULL
14PAT0075,SENDANGREJO_PAT_PL,111.04431,-6.55469,TAYU,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0079,KUTOHARJO_PAT_TB,111.04684,-6.73253,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT008,KALIAMPO,110.985,-6.78426,MARGOREJO,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  9,918 ","  50,300,754 ",60,240,340
14PAT0081,TAYU_KULON1_HS,111.04734,-6.53948,TAYU,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  876,830 ",NULL,NULL,NULL
14PAT0082,PASUCENTRANGKIL_PL,111.04906,-6.65755,TRANGKIL,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0084,TAYU3PATI_MT,111.04944,-6.53570,TAYU,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0086,STOTAYU_MT,111.05053,-6.54550,TAYU,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0088,MULYOHARJO_PATI_CM,111.05083,-6.72944,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  9,281,204 ",NULL,NULL,NULL
14PAT009,MARGOYOSO_TB,111.052,-6.60607,MARGOYOSO,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  22,045 ","  99,978,313 ",90,180,340
14PAT0092,MARGOYOSO_PAT_TB,111.05200,-6.60607,MARGOYOSO,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  3,286,364 ",NULL,NULL,NULL
14PAT0094,SIDOMUKTI_MARGOYOSO_HS,111.05233,-6.62462,MARGOYOSO,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0096,TAYU_PL,111.05400,-6.54416,TAYU,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  7,203,485 ",NULL,NULL,NULL
14PAT0097,TAYU1_PL,111.05472,-6.53931,TAYU,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  3,688,690 ",NULL,NULL,NULL
14PAT010,DUKUHSETI,111.04,-6.48873,DUKUHSETI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  22,352 ","  57,567,686 ",0,180,270
14PAT0100,NGEMPLAKKIDUL_HS,111.05561,-6.60857,MARGOYOSO,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  2,268,495 ",NULL,NULL,NULL
14PAT0103,TAMBAHARJOPATI_PL,111.05711,-6.72072,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0106,MARGOMULYO_PAT_PL,111.05961,-6.57239,TAYU,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  239,745 ",NULL,NULL,NULL
14PAT0109,WEDARIPATI_PL,111.06353,-6.70286,WEDARIJAKSA,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT011,KAYEN,110.99,-6.89061,KAYEN,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  30,297 ","  84,974,523 ",10,90,270
14PAT013,CLUWAK_TB,110.947,-6.53478,CLUWAK,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  21,645 ","  38,135,470 ",0,90,270
14PAT014,TLOGOWUNGU_TB,111.02,-6.70652,TLOGOWUNGU,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  9,561 ","  53,471,829 ",90,190,280
14PAT015,WINONG,111.104,-6.8057,WINONG,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  22,679 ","  71,473,605 ",30,160,300
14PAT016,KARABAN,111.012,-6.83606,GABUS,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  15,129 ","  65,814,907 ",20,120,210
14PAT017,JONTRO,111.069,-6.69296,WEDARIJAKSA,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  21,200 ","  73,796,975 ",20,130,210
14PAT018,GABUSWINONG,111.05581,-6.83014,GABUS,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  13,561 ","  68,614,304 ",60,210,340
14PAT019,MUKTIHARJO_PL,111.0244,-6.742703,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  2,953 ","  65,300,147 ",100,165,310
14PAT020,DADIREJO_MT,111.04,-6.7648,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  7,596 ","  46,522,415 ",25,200,320
14PAT021,SOKOGABUS_MT,111.052,-6.7965,GABUS,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  10,474 ","  44,816,594 ",45,165,260
14PAT022,KEDUNGMULYO_MT,111.077,-6.76828,JAKENAN,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  8,413 ","  29,984,427 ",10,130,200
14PAT023,LANGGENHARJO_LS,111.1191,-6.691502,JUWANA,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  39,960 ","  42,290,597 ",20,120,320
14PAT024,NGEPUNGROJO_LS,111.071,-6.72359,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  13,727 ","  58,561,047 ",40,115,320
14PAT025,PANTIREJO_PL,111.027,-6.80798,GABUS,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  9,224 ","  31,152,757 ",55,210,335
14PAT026,DUKUHSETIPUNCEL_RT,111.025,-6.45154,DUKUHSETI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  11,020 ","  37,627,324 ",60,145,315
14PAT028,RACILOKANG_PL,111.168,-6.71734,JUWANA,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  18,361 ","  21,057,388 ",30,210,290
14PAT029,GUNUNGWUNGKAL_TB,110.987,-6.57041,GUNUNG WUNGKAL,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  23,951 ","  44,009,128 ",60,220,340
